epoch:50, accu1:0.6186, accu2:0.7320, best_accu:0.7320
epoch:100, accu1:0.6907, accu2:0.7732, best_accu:0.7732
epoch:150, accu1:0.6186, accu2:0.7835, best_accu:0.7835
epoch:200, accu1:0.6186, accu2:0.7526, best_accu:0.7835
epoch:250, accu1:0.5876, accu2:0.7423, best_accu:0.7835
epoch:300, accu1:0.6082, accu2:0.7938, best_accu:0.7938
epoch:350, accu1:0.6701, accu2:0.7526, best_accu:0.7938
epoch:400, accu1:0.6495, accu2:0.7732, best_accu:0.7938
epoch:450, accu1:0.6082, accu2:0.7423, best_accu:0.7938
epoch:500, accu1:0.6186, accu2:0.7320, best_accu:0.7938
epoch:550, accu1:0.5670, accu2:0.6907, best_accu:0.7938
epoch:10, accu1:0.2474, accu2:0.2680, best_accu:0.2680
epoch:600, accu1:0.6392, accu2:0.7732, best_accu:0.7938
epoch:650, accu1:0.6289, accu2:0.7423, best_accu:0.7938
epoch:20, accu1:0.2990, accu2:0.2887, best_accu:0.2990
epoch:700, accu1:0.6392, accu2:0.7423, best_accu:0.7938
